"id","category_id","manufacturer_id","name","sku"
2774,3012,2154,"Tai nghe Tomotop EACH GS200",3012215410043
2775,3012,2154,"Tai nghe Tomotop EACH GS2100",3012215410052
2776,3012,2154,"Tai nghe Tomotop Each GS510",3012215410061
2777,3012,2166,"Tai nghe Xiaomi 1More 1M301",3012216610011
2778,3012,2166,"Tai nghe Xiaomi 1More E1001",3012216610020
2779,3012,2166,"Tai nghe Xiaomi 1More iBFree",3012216610039
2780,3012,2166,"Tai nghe Xiaomi 1More MK802",3012216610048
2781,3012,2137,"Tai nghe Zidli A9",3012213710019
2782,3012,2137,"Tai nghe Zidli Combo 10 A9",3012213710028
2783,3012,2137,"Tai nghe Zidli Combo 10 Z198",3012213710037
2784,3012,2137,"Tai nghe Zidli Combo 5 Z198",3012213710046
2785,3012,2137,"Tai nghe Zidli Derm HS701",3012213710055
2786,3012,2137,"Tai nghe Zidli GH300",3012213710064
2787,3012,2137,"Tai nghe Zidli GH300D",3012213710073
2788,3012,2137,"Tai nghe Zidli GH-300D",3012213710082
2789,3012,2137,"Tai nghe Zidli GH-600D",3012213710091
2790,3012,2137,"Tai nghe Zidli GS350",3012213710107
2791,3012,2137,"Tai nghe Zidli RH100",3012213710116
2792,3012,2137,"Tai nghe Zidli RH-100",3012213710125
2793,3012,2137,"Tai nghe Zidli S6",3012213710134
2794,3012,2137,"Tai nghe Zidli S6 Có rung 7.1 (Trắng đen)",3012213710143
2795,3012,2137,"Tai nghe Zidli S6 WHITE",3012213710152
2796,3012,2137,"Tai nghe Zidli T191",3012213710161
2797,3012,2137,"Tai nghe Zidli Z-100L",3012213710170
2798,3012,2137,"Tai nghe Zidli Z110",3012213710189
2799,3012,2137,"Tai nghe Zidli Z129",3012213710198
2800,3012,2137,"Tai nghe Zidli Z191",3012213710204
2801,3012,2137,"Tai nghe Zidli Z191/196L",3012213710213
2802,3012,2137,"Tai nghe Zidli Z-191/196L",3012213710222
2803,3012,2137,"Tai nghe Zidli Z191L (Trắng)",3012213710231
2804,3012,2137,"Tai nghe Zidli Z196L",3012213710240
2805,3012,2137,"Tai nghe Zidli Z196L GAMING WHITE",3012213710259
2806,3012,2137,"Tai nghe Zidli Z197",3012213710268
2807,3012,2137,"Tai nghe Zidli Z197 (Đỏ)",3012213710277
2808,3012,2137,"Tai nghe Zidli Z198",3012213710286
2809,3012,2137,"Tai nghe Zidli Z198 (Cam đen)",3012213710295
2810,3012,2137,"Tai nghe Zidli Z198 (Đỏ Đen)",3012213710301
2811,3012,2137,"Tai nghe Zidli Z198 (Xanh)",3012213710310
2812,3012,2137,"Tai nghe Zidli ZH1",3012213710329
2813,3012,2137,"Tai nghe Zidli ZH100",3012213710338
2814,3012,2137,"Tai nghe Zidli ZH-100L",3012213710347
2815,3012,2137,"Tai nghe Zidli ZH-100L (Cam)",3012213710356
2816,3012,2137,"Tai nghe Zidli ZH-100L (Đỏ)",3012213710365
2817,3012,2137,"Tai nghe Zidli ZH-12L",3012213710374
2818,3012,2137,"Tai nghe Zidli ZH1300L",3012213710383
2819,3012,2137,"Tai nghe Zidli ZH2",3012213710392
2820,3012,2137,"Tai nghe Zidli ZH300L",3012213710408
2821,3012,2137,"Tai nghe Zidli ZH500",3012213710417
2822,3012,2137,"Tai nghe Zidli ZH500L",3012213710426
2823,3012,2137,"Tai nghe Zidli ZH500V",3012213710435
2824,3012,2137,"Tai nghe Zidli ZH600D",3012213710444
2825,3012,2137,"Tai nghe Zidli ZH7",3012213710453
2826,3012,2137,"Tai nghe Zidli ZH-7",3012213710462
2827,3012,2137,"Tai nghe Zidli ZHA9",3012213710471
2828,3012,2137,"Tai nghe Zidli ZHS3",3012213710480
2829,3012,2137,"Tai nghe Zidli ZHS6",3012213710499
2830,3012,2137,"Tai nghe Zidli ZH-S6 7.1",3012213710505
2831,3012,2137,"Tai nghe Zidli ZRH500L",3012213710514
2832,3012,2137,"Tai nghe Zidli ZRH500LV",3012213710523
2833,3007,2022,"Tản nhiệt, Làm mát Cooler Master 612 Version 2",3007202210016
2834,3007,2022,"Tản nhiệt, Làm mát Cooler Master Blizzard T2 mini",3007202210025
2835,3007,2022,"Tản nhiệt, Làm mát Cooler Master Color 12cm Stickle Flow Led Silent Fan (Blue, Green, Red)",3007202210034
2836,3007,2022,"Tản nhiệt, Làm mát Cooler Master D92",3007202210043
2837,3007,2022,"Tản nhiệt, Làm mát Cooler Master Hyper 212 Led",3007202210052
2838,3007,2022,"Tản nhiệt, Làm mát Cooler Master Hyper 212X",3007202210061
2839,3007,2022,"Tản nhiệt, Làm mát Cooler Master Hyper 21X",3007202210070
2840,3007,2022,"Tản nhiệt, Làm mát Cooler Master Seidon 120V 240P",3007202210089
2841,3007,2022,"Tản nhiệt, Làm mát Cooler Master Seidon 120V Plus",3007202210098
2842,3007,2022,"Tản nhiệt, Làm mát Cooler Master T2 Mini",3007202210104
2843,3007,2022,"Tản nhiệt, Làm mát Cooler Master V8GTS",3007202210113
2844,3007,2022,"Tản nhiệt, Làm mát Cooler Master Xdream i117",3007202210122
2845,3007,2025,"Tản nhiệt, Làm mát Corsair Hydro H100i V2 280mm Extreme Performance Liquid CPU Cooler",3007202510013
2846,3007,2025,"Tản nhiệt, Làm mát Corsair Hydro H115i 280mm Extreme Performance Liquid CPU Cooler",3007202510022
2847,3007,2025,"Tản nhiệt, Làm mát Corsair Hydro H80i v2 High Performance Liquid CPU Cooler",3007202510031
2848,3007,2025,"Tản nhiệt, Làm mát Corsair Hydro Series H45",3007202510040
2849,3007,2033,"Tản nhiệt, Làm mát DeepCool CAPTAIN 120 EX Liquid CPU Cooler Kit",3007203310012
2850,3007,2033,"Tản nhiệt, Làm mát DeepCool CAPTAIN 240 Ex Gamer Storm Liquid CPU Cooler Kit",3007203310021
2851,3007,2033,"Tản nhiệt, Làm mát DeepCool Gabriel",3007203310030
2852,3007,2033,"Tản nhiệt, Làm mát DeepCool Gammax 400",3007203310049
2853,3007,2033,"Tản nhiệt, Làm mát DeepCool GAMMAXX 400",3007203310058
2854,3007,2033,"Tản nhiệt, Làm mát DeepCool Ice Blade Pro V2",3007203310067
2855,3007,2033,"Tản nhiệt, Làm mát DeepCool Neptwin V2",3007203310076
2856,3007,2150,"Tản nhiệt, Làm mát Phanteks TC14PE White Edition - Dual Fans Ultimate Cooler",3007215010018
2857,3007,2150,"Tản nhiệt, Làm mát Phanteks TC14S Black/White Edition - Top Down ITX CPU Cooler",3007215010027
2858,3007,2106,"Tản nhiệt, Làm mát Sama AMD AZ301i Led Green",3007210610017
2859,3007,2112,"Tản nhiệt, Làm mát Segotep Forst Castle",3007211210018
2860,3007,2122,"Tản nhiệt, Làm mát Thermaltake Contac 16 (CLP0598)",3007212210015
2861,3007,2122,"Tản nhiệt, Làm mát Thermaltake NIC L31",3007212210024
2862,3007,2136,"Tản nhiệt, Làm mát Xigmatek Dark Knight II SD1483 Nighthawk Frost Borne (EN6619)",3007213610018
2863,3007,2136,"Tản nhiệt, Làm mát Xigmatek Dark Knight SD1483 Nighthawk Edition (EN6602)",3007213610027
2864,3007,2136,"Tản nhiệt, Làm mát Xigmatek Prime SD1484 (CAC-SYHH4-U01)",3007213610036
2865,3007,2136,"Tản nhiệt, Làm mát Xigmatek TYR SD1264B (Solar Eclipse LED)",3007213610045
2866,3045,2140,"Test Test ",3045214010011
2867,3040,2107,"Thẻ nhớ Samsung 16GB",3040210710011
2868,3034,2125,"Thiết bị cân bằng tải TP-Link TL-R480T+",3034212510016
2869,3035,2069,"Tủ server Khác 36U",3035206910010
2870,3018,2070,"USB Kingmax 2GB /1333",3018207010019
2871,3018,2070,"USB Kingmax 2GB /1600",3018207010028
2872,3018,2071,"USB Kingston 16gb DT100 Kingston 3.0",3018207110018
2873,3018,2071,"USB Kingston 16gb DT101 G3 Kingston 3.0",3018207110027
2874,3018,2071,"USB Kingston 16GB Kingston - DT100G3/16",3018207110036
2875,3018,2071,"USB Kingston 2.0 Kingston 8GB",3018207110045
2876,3018,2071,"USB Kingston 32gb DT100 Kingston 3.0",3018207110054
2877,3018,2071,"USB Kingston 8GB 1600 Savage DR3",3018207110063
2878,3018,2071,"USB Kingston Kingston 16G",3018207110072
2879,3018,2071,"USB Kingston Kingston 16GB – USB 3.1 (mã là DT50)",3018207110081
2880,3018,2075,"USB Lexar 16G",3018207510014
2881,3018,2119,"USB TEAM 16GB Black",3018211910017
2882,3018,2119,"USB TEAM 16GB Blue",3018211910026
2883,3018,2119,"USB TEAM 32GB White",3018211910035
2884,3018,2119,"USB TEAM 32GB Yellow",3018211910044
2885,3018,2119,"USB TEAM 8GB Black",3018211910053
2886,3018,2119,"USB TEAM 8GB Red",3018211910062
2887,3018,2126,"USB Transcend 16gb JetFlash 700/ USB 3.0",3018212610017
2888,3018,2126,"USB Transcend 32gb JetFlash 700/ USB 3.0",3018212610026
2889,3018,2126,"USB Transcend 64gb JetFlash 700/ USB 3.0",3018212610035
2890,3045,2140,"Test Test Test",3045214010020
2891,3037,2045,"Combo Phím Chuột Fuhlen Đen L411 + L102",3037204510106
2892,3007,2008,"Tản nhiệt, Làm mát Antec cho CPU C40",3007200810016
2947,3002,2087,"Card màn hình MSI GTX 1070 GAMING X 8G",3002208710470
2948,3005,2005,"Ổ cứng SSD Adata Su800 - 512GB",3005200510172
2949,3001,2172,"Mainboad AFOX H61-MA Micro ATX ( tụ rắn,SK 1155, DDR3 )",3001217210016
2950,3021,2034,"Laptop Dell Inspiron N7460 N4I5259W",3021203410109
2951,3004,2008,"Nguồn PC Antec ATX BP450S 450W",3004200810082
2952,3004,2102,"Raidmax RX-350XT",3004210210184
2953,3005,2126,"Ổ cứng SSD Transcend SSD230S 256Gb SATA3 (đọc: 560MB/s /ghi: 520MB/s)",3005212610129
2954,3004,2136,"Nguồn Xigmatek Shogun SJ-B600 600W",3004213610084
2957,3019,2108,"Bộ lưu điện UPS Santak BLAZER 2000-EH",3019210810056
2958,3005,2134,"Ổ cứng WD Gold 2TB WD2005FBYZ",3005213410623
2959,3005,2134,"Ổ cứng WD Red 4TB WD40EFRX",3005213410632
2960,3001,2087,"Mainboard MSI H110M ECO (socket 1151)",3001208710745
2962,3001,2050,"Card màn hình GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB",3001205010839
2963,3006,2025,"RAM Corsair vengeance LPX 8G DDR4 2133 (2x4GB)",3006202510041
2964,3016,2009,"Bàn di chuột AOC",3016200900016
2966,3003,2096,"Case PC Patriot Sama G2 (Không nguồn)",3003209610158
2967,3004,2069,"Nguồn POWER 500W ARROW Fan 12cm",3004206910214
2969,3004,2069,"Nguồn Arow 500W Fan 8",3004206910223
2970,3014,2034,"Màn hình LCD Dell 24\" E2417H Full HD 1920x1080",3014203410215
2971,3014,2129,"LCD Viewsonic IPS VA2719SH 27\" ( Viền mỏng, VGA, HDMI, IPS 5ms)",3014212910391
2972,3010,2012,"Chuột Hacker Assassin G7 (Vàng)",3010201210109
2973,3012,2137,"Tai nghe Zidli Z129 (Vàng đỏ)",3012213710538
2974,3012,2137,"Tai nghe Zidli Z191L (Đỏ)",3012213710549
2975,3002,2046,"Card màn hình GALAX GEFORCE GTX 750 Ti Black OC Sniper 2GB",3002204610251
2976,3002,2046,"Card màn hình Galax GTX 1050Ti OC 4G DDR5 (1 Fan)",3002204610260
2977,3037,2050,"Combo Mainboard Gigabyte H110M - Gaming3 + Chuột Newmen G10",3037205010029
2978,3043,2069,"Tranh đồng hồ",3043206910055
2979,3006,2119,"Ram 4Gb/1600 Team Elite (tản nhiệt)",3006211910182
2980,3012,2137,"Combo Tai nghe Z-gaming GS350 + thẻ garena 50k",3012213710569
2981,3010,2089,"Chuột Newmen Gaming G8",3010208910459
2982,3010,2089,"Chuột Newmen G10 (xanh)",3010208910468
2983,3043,2069,"Mì tôm Omni tôm chanh 30 gói/thùng",3043206910064
2984,3043,2069,"Mì tôm Omni chanh 60 bát/thùng",3043206910073
2985,3043,2069,"Mì tôm Omni 24 cốc/thùng(TC-bò cay)",3043206910082
2986,3043,2069,"Mì tôm hảo hảo tôm chua cay",3043206910091
2987,3043,2069,"Mì tôm hảo hảo sa tế hành cay ",3043206910107
2988,3043,2069,"Mì tôm hào hảo sườn heo tỏi phi",3043206910116
2989,3043,2069,"Thẻ Garena 100k",3043206910125
2991,3043,2069,"Mì tôm Omni chanh 24 cốc/thùng",3043206910143
2992,3043,2069,"Đồng hồ Smartwatch S29 (Đen)",3043206910152
2993,3043,2069,"Đồng hồ Smartwatch S29 (Vàng)",3043206910161
2994,3043,2069,"Đồng hồ Smartwatch S29 (Bạc)",3043206910170
2995,3043,2069,"Đồng hồ Smartwatch S39 (Đen)",3043206910189
2996,3043,2069,"Đồng hồ Smartwatch S39 (Vàng)",3043206910198
2997,3043,2069,"Đồng hồ Smartwatch S39 (Bạc)",3043206910204
2998,3043,2069,"Máy tính tiền",3043206910213
2999,3043,2069,"Máy làm mát DAIKIO DK4500A",3043206910222
3000,3043,2069,"Máy làm mát DAIKIO DK5000A",3043206910231
3001,3043,2069,"Máy làm mát DAIKIO DK7000A",3043206910240
3002,3043,2069,"Khung sườn màn hình GoodM! All in one 24inch IPS",3043206910259
3003,3043,2069,"Khung sườn màn hình GoodM! All in one 27inch",3043206910268
3004,3043,2069,"Khung sườn màn hình GoodM! All in one 22AZ",3043206910277
3005,3043,2069,"Nút nguồn thường",3043206910286
3006,3043,2069,"Nút nguồn tốt",3043206910295
3007,3043,2069,"Bát inox 2 lớp",3043206910301
3008,3043,2069,"Mì tôm hảo hảo gà nấm kim châm (32 gói/thùng)",3043206910310
3009,3043,2069,"Card Vinaphone 50k",3043206910329
3010,3043,2069,"Thẻ Viettel 50k",3043206910338
